NOMBRE	EXPEDIENTE
LEMONCREA S.A.	309734
TELECOMUNICACIONES NETHOME CIA.LTDA.	311764
DATTAX BUSINESS SOLUTIONS C.A.	316102
CONSTRUCTORA Y CONSULTORA R&R ENGINEERSONE CIA.LTDA.	712981
COMPAÑIA DE TRANSPORTES DE CARGA PESADA EL REY TRUCK S.A. TRANSELREYTRUCK	180669
ALFALABCORP S.A.	318467
JEDATAX S.A.	324193
CONTABILIDAD Y TRIBUTACION BAQUE Y ASOCIADOS CONTRIBUTACION S.A.	134158
SERVICIO DE REDES Y TELECOMUNICACIONES INTERCOMUTEL S.A.	180159
FARMACALIDAD ECUADOR S.A.	145239
INMOBILIARIA ISARASIL SA	40016
INMOBILIARIA PABAND S.A.	72318
JOPAD CONSULTORES CIA.LTDA.	709201
WELLCONTROL INTERNATIONAL WCI CIA.LTDA.	705896
MORENO MAQUINARIAS RENTA DE MAQUINARIAS MOREMAQUIN S.A.	305865
INMOBILIARIA CONSTRUCTORA JORMAN S.A.	136547
COMPAÑIA DE CARGA PESADA SUAREZ MERCHAN SUAMERC S.A.	714603
SERVICIOS EMPRESARIALES S.A. SEMPRECOMPANY	131241
NETWORK XPERTS S.A. NEXE	122569
VILLALICAZ S.A.	723471
JAMEG S.A.	706272
HEXAGÓN SECURITY CONSULTING S.A.S.	325034
TRANSPORTE DE CARGA PESADA LOGISTICATRANSPEC S.A.	714199
CONSTRUCTORA INMOBILIARIA R&M CONSTRUINMOR&M CIA.LTDA.	315592
INMOBILIARIA MOROVESA S.A.	126332
COMPAÑIA DE TRANSPORTE DE CARGA PESADA ELVERGELTRANS S.A.	708979
RENTINGCENTER S.A.S.	325079
INGENIERIA Y CONSTRUCCIONES PLACASTI S.A.	96320
DISTRIBUIDOR DE TECNOLOGÍA GLOBAL BLINTEC S.A.	318735
SUMIMPO S.A.S.	324064
DEIURECORP S.A.	170866
WW SOLUTIONS POWERCOM S.A.S.	732072
MEGASSURANCE AGENCIA ASESORA PRODUCTORA DE SEGUROS S.A.	727843
TRANSPORTEDANEW S.A.	721152
ELEVADORES Y COMERCIO ELEVACO CIA. LTDA.	54299
NOGATEXTILES S.A.	313210
HMBUILDING CONSTRUCTORA S.A.	728651
INMOBILIARIA RICAJOTI S.A.	34316
SPICEGROUP S.A.	727027
ESCUELA DE INGLES ECUCISPER S.A.	304836
AJEST ECUADOR (AJEST-COM) S.A.	311303
PUBCIDCORP S.A. PUBLICIDAD VIRTUAL MARKETING CUPONES & DESCUENTOS	166564
MIYEONTEX S.A.	140678
PETROTRONIC INGENIERIA ELECTRONICA CONTROL E INSTRUMENTACION S.A.	159140
BABIES STROLLERS S.A.	133292
INTCACAO S.A.S.	731702
INDUSPLAN S.A.	721570
END-LAB SERVICIOS ESPECIALIZADOS C.L.	304037
ILGAGRO, IMPORTADORA Y COMERCIALIZADORA DE PRODUCTOS AGRICOLAS S.A.	133155
INTIWASITEXTILES S.A.	719412
SERVICIOS DE RADIODIFUSION CHUVA & BUELE S.A.	174503
INGENIERIA MECANICA & SERVICIOS MECSERFA S.A.	707976
GLOBAL INTERPRICE COURIER INTERCOURIER S.A.	707653
CUBE INMOBILIARIA Y CONSTRUCTORES, INMOCUBE CIA. LTDA.	60062
NEGYVAR C.A.	70368
DISTRIBUMEDIC S.A.	714861
SEA STAR TRAVEL S.A. SETRAVEL	135236
DLCIMPORT S.A.S.	735315
PLANIFICACION TRIBUTARIA S. A. PLANTRISA	125156
ESFOGUARINSIDELECTRONIC CIA.LTDA.	721997
BETHAMEDICA S.A.S.	738862
INMOBILIARIA MONTUFAR SA	4482
COMPAÑIA TRANSPORTE DE CARGA PESADA ROXSAR S.A.	713498
SMARTTELECOMMUNICATIONS S.A.	738750
BRANDS TRADING BRANDS-TRADING S.A.	318927
COMPAÑIA DE TAXIS EJECUTIVOS FAST VALLEY S.A.	171818
TRANSPORTES MIGUEL ANGEL FEIJOO MAF CIA.LTDA.	701046
ENVIROSERV CONSULTORA AMBIENTAL CIA. LTDA.	160327
DIMETEL S.A.	131200
INMOSTEEL INMOBILIARIA S.A.	62155
PROTOS CA	19111
INVERSIONES VALYSA SA	40012
TRANSPORTDIAZ S.A.	714983
SERVICIOS HOTELEROS Y TURISTICOS RED BOOBY CIA. LTDA.	133882
ACERK-T S.A.	316013
UNIDAD EDUCATIVA PARTICULAR MATER MISERICORDIAE UEPMATMISER CIA.LTDA.	720767
EASYCASH S.A.	316561
AGHARTSA S.A.	87485
COMPAÑIA DE TRANSPORTE PESADO TIERRA TSACHILA TRANPORTETIERRATSACHILA S.A.	731018
ALPHASERVICIOS S.A.S.	729233
BGENER S.A.	166802
ASOL S.A.S.	320712
STAEDTLER FORESTAL STAFORCO CIA.LTDA.	712393
LATGLOB LATINA GLOBAL ASESORIA Y GESTION S.A.	149556
SOLIESTRA CIA. LTDA.	149740
COMPAÑIA DE TRANSPORTE PESADO VOLQUETES GIAL CIA. LTDA.	702578
INGENIERIA Y CONSTRUCCION EFSUS CIA.LTDA.	308114
SOLINEMP S.A.S.	731764
FORMAMOS ECUADOR WEFORM CIA.LTDA.	718824
DICARBE AUTO-REPAIR S.A.	309219
GARVI EXPORT S.A.	733618
JVSEIMEC INGENIERIA CIA.LTDA.	86984
RADIO CAPITAL FM S.A.	174232
TODOENTOURS AGENCIA DE VIAJES Y TURISMO ADRIV CIA. LTDA.	179607
CEOM S.A.	727030
COMERCIALIZADORA BUSINESS DIS-ECUADOR ECUADORBUSINESS S.A.S.	733437
MELKITIN S.A.	100198
SPIRALTECH S.A.S.	737215
DENRUA S.A.	76459
ITALMARKET ECUADOR S.A.	144559
OFTALMOSERVICIOS S.A.	715294
CENTAURO LOGISTICA ECUADOR LOGINCEN S.A.	716757
RODHESA S.A.	113146
LEGAL ARRANGEMENTS LEGAR S.A.S.	323163
PROBROKERS S.A. CASA DE VALORES	85520
AURICMEDICAL S.A.	172745
COMPAÑIA DE TRANSPORTE TURISTICO & PRIVADO JEMSTOUR EXPLORE S.A.	61907
REVERE SOLUCIONES INTEGRALES SOLUCIONREVERE S.A.	310387
COMPAÑIA DE CARGA PESADA TRANSDISTRIGATO S.A.	182965
DISTRIBUCIONES DE HARDWARE Y TECNOLOGIA DHT FIBER S.A.	308762
AGDIESA S.A.	174717
AGENCIA DE VIAJES KARFERTOURS CIA.LTDA.	701827
PROYECTARIC S.A.	63112
COLORMAX CONSTRUCCIONES Y ACABADOS CIA. LTDA.	201399
MAQUIPLAN S.A.	29864
EXPEDICIONES APU-LLACTA CIA. LTDA.	31376
AMCR S.A. ASESORIA, MONITOREO Y CONTROL DE RIESGOS	98095
URBANDOMUS DESARROLLOS S.A.	64491
CRECIENDO INVERSIONES CRECINVERSA S.A.	724882
NUEVA ELECTRONICA NEWTRONIX CIA. LTDA.	54942
SANCHEZ & SANCHEZ CONSULTORES CIA. LTDA.	17706
1000TEL CIA.LTDA.	723003
INTEGRALIS-SERVICIOS MÉDICOS INTEGRALES S.A.	724609
MCN CONSTRUCTORES S.A.	712073
AGUA RESIDUOS Y MEDIO AMBIENTE, S.A.	719503
VIGPRI, VIGILANCIA PRIVADA CIA. LTDA.	54064
ROBMA SUMINISTROS INDUSTRIALES S.A.	173546
COLADASA CONSTRUCTORA LUIS A. DUEÑAS ARENAS S.A.	105987
QUIGAV S.A.	100890
COMPAÑIA DE TRANSPORTE DE CARGA PESADA RIVERA LOPEZ RIVLOPSA S.A.	714720
GREIVAG TURISMO Y SERVICIOS CONEXOS CIA. LTDA.	96801
COMPANIA INMOBILIARIA INDUSTRIAL MECSA SA	5963
CAMPING SUITES GRAMHALES CIA.LTDA.	178258
CENTRO DE FORMACION PROFESIONAL CAPACITACION DE PRIMEROS AUXILIOS ''S24'' CIA.LTDA.	302265
CONSTRUCTORA REYES MOYA CONSREYMO CIA.LTDA.	724212
XAGC CONSULTING S.A.S.	735711
CALIDAD S.A. CADSA	111613
ANDEAN CONSULTING ANDEANCON CIA. LTDA.	156212
SEGURIDAD Y PROTECCION DEL SUR SECUPRO CIA.LTDA.	319210
DISEGNARQ FIGUEROA & ARROYO CONSTRUCTORA CIA.LTDA.	182460
COMPAÑIA DE TRANSPORTE DE CARGA PESADA ''CARRION GABRIEL'' COTRACARGAB S.A.	700386
ARBOLES ECUATORIANOS S.A. ARBOLECUA	147592
IKONS-ATN ECUADOR S.A.	718236
KEVA DENTAL CENTER S.A..	93714
ESPINARI S.A.	117306
DIGICEL CIA.LTDA.	316681
CONSTRUCTORA CARRASCO & MURILLO ALDASTRUCTURE S.A.	713515
INSTITUT NOWAK IDNQ CIA.LTDA.	718424
FLORESDELMUNDO S.A.	710352
CONSTRUCTORA LEOLFSA S.A.	713554
MIVECORP S.A.	101225
RB- BUSTAMANTE CIA.LTDA.	318421
PIDYEN S.A.	134139
SOUTH PACIFIC CONNECT SPC-EC CIA.LTDA.	323167
SERVICIOS LEGALES MORAN SARMIENTO ''SELM'' S.A.	131183
LAS MASITAS ECUADOR ECUMASITAS SA S.A.	144548
SERVICIOS HÍDRICOS MACROHIDRO S.A.	705889
CENTRO LOGÍSTICO INFARSUS S.A.	181463
JOSATIC S.A.	126799
GALAPAEARTH S.A.	148208
ESPECIES DE LA COSTA S.A. COSTAESPEC	134518
DOMONETT CIA.LTDA.	721665
GLOBAL TAX CONSULTING - AUDITING & TRAINING GLTAX S.A.S.	729683
VINAEX S.A.	108918
VSM&M DEVELOPMENT BUSINESS CIA.LTDA.	312221
SERVICIOS DE TELECOMUNICACIONES FIBERLINK FIBERMEDIA CIA.LTDA.	723449
NAVAS&ASOCIADOS ASESORES DE SEGUROS INSURANCE-BROKER S.A.	309711
BODMAR S.A.S.	324727
CENFORSP CIA.LTDA.	319141
PROYECTOS DE INGENIERIA INCIVPRO S.A.	308135
AUDITBUREAU ECUADOR CIA. LTDA.	148876
NOVAUROLOGY S.A.S.	327039
COMPAÑIA DE TRANSPORTE MADOU S.A.	168133
SANTA ELENA DE LOS MILAGROS SEDMIL S.A.S.	731414
KINE LIFE KLSA S.A.	719649
CONSULTORA DE OMNICANALIDAD AGENCY-PWR S.A.	307021
NEURODESARROLLO QUITO CIA.LTDA.	739583
RIO VERDE S.A. VERDERIOSA	165707
CORPORACION AUTESA CORPAUTESA S.A.	724419
SLAMER S.A.	114183
CONSULTORA ROADQUALITY CIA. LTDA.	163876
ULKA DISTRIBUCIÓN S.A.S.	735901
TRANSPORTES LANDETA PAREDES S.A.	143598
DIFUEXPORT S.A.	314837
COMPAÑIA DE TRANSPORTE ESCOLAR E INSTITUCIONAL TRANSLARRIVASUR S.A.	170815
NORTHSIDE CENTRO DE LENGUAJE S.A.	157503
AYCEC S.A.S.	736157
TAX ADVISERS MG & ASOCIADOS TAXAASA S.A.	318080
BARTOP DEL ECUADOR S.A.	732991
GAMANT CIA. LTDA	94466
CENTINELAS DE LA SEGURIDAD QYM CIA.LTDA.	715882
GOLD-DIAMONDS S.A.	305037
BIOAGROTECSA CIA. LTDA.	96513
AREVALO MOYA CONSULTORES ASOCIADOS AMCA S.A.	728010
SOCIEDAD INTERNACIONAL DE TURISMO SOINTUR S.A.	57567
GOLDENVIBES S.A.	313576
KITALSERV S.A.	114335
SERVICIOS Y CONSTRUCCIONES LOILCRETOS CIA.LTDA.	182676
MUNDOS&H S.A.	314590
CONSULTORA CANDO SHEVCHUKOVA & MAISTER CONSULTCSM CIA.LTDA.	714509
MEDICOS Y ASOCIADOS CLINCHIMBORAZO COMPANIA LIMITADA	15420
DOCTOR-SOLUTIONS S.A.	320896
COMPAÑIA DE TRANSPORTE 24 DE ABRIL TRANSABRIL S.A.	104318
ISABRUBOTANIK S.A.	36553
CONSTRUCTORA DE REDES DE TELECOMUNICACIONES BPTELECON BRICEÑO PALLO & HIJOS CIA.LTDA.	300165
WATERCENTER S.A.S.	326089
CROSSTRONIK CIA. LTDA.	163277
CABARO C. LTDA.	12819
LUBO CONSULTING CIA.LTDA.	304401
A&M-SALUD INFANTIL CIA.LTDA.	737847
SANCHEZ FIERRO FIERSAN S.A.	177881
ARFATEXCIA C.L.	714709
COMERCIALIZADORA EKINOXPRODU S.A.	173121
COLD STEAK S.A. COLDSTEAK	148592
CONACSA S.A.	34405
PROVEEDORES DE SERVICIOS VARIOS Y MATERIALES S.A. PROSERVA	118856
COMPAÑIA DE TRANSPORTE EN CARGA PESADA ROMERTRANS S.A.	141291
CENTRO DE FORMACION SECURITY SAFETY AND TRAINING SSTT CIA.LTDA.	702262
SISTECPRO S.A.	726432
SENSOR-MEDICAL CIA.LTDA.	324366
EMCY NEGOCIOS EMCYNEGO S.A.S.	320211
AGRÍCOLA HSM C.LTDA.	702441
CENTERPRIME S.A.	63557
MARKETING VIRTUAL FERIAS360 S.A.	304124
TRANSPORTES ARMIJOS & ARMIJOS TRANSPORTESARMIJOS S.A.	722601
LA-COMPAÑIA-EC S.A.	305517
INMOBILIARIA & AVALUOS BIENAVAL CIA.LTDA.	301997
EFE LATAM CONSULTING EFELAT S.A.S.	319653
CONSULTORES ASOCIADOS MRP-GRP CONSULTING S.A.	713936
''THIABY'' TRANSPORTE DE SERVICIO S.A.	712102
MARKETBOX S.A.S.	734791
GLOBAL REPUESTOS GLOBALREPUESTOS C.A.	723324
ECUDEIM SA	7641
INMOBILIARIA SUSY SA	4492
TRANS CHILUISA TRANSPORTES PESADOS S.A.	153731
DNS REPRESENTACIONES CIA.LTDA.	310873
COMERCIAL DEL BAJIO S.A. COBASA	40521
DIGITAL NET CENTER DNCCORP CIA.LTDA.	317704
ENVECORP S.A.	98624
INMOBILIARIA KITLASZ CIA. LTDA.	162963
DOPEM UNLIMITED CIA.LTDA.	321500
LEXBRAVO & CO. ABOGADOS ASOCIADOS S.A.S.	737685
IF2 BPO CIA.LTDA.	141745
GASTROEQUIPOS CORP ECUADOR S.A.S.	323058
AQUASTAR S.A.	728638
SERVICIOS TÉCNICOS ELECTROMECÁNICOS ELESPECIALISTAUBER S.A.	721811
COMPAÑIA DE TRANSPORTE PESADO NATIVAS TRANSNATIVAS S.A.	163125
VIVE VIAJES VIVIAJES CIA. LTDA.	144063
YTR AGENCY CIA.LTDA.	721576
RADIO PODER CIA.LTDA.	174036
COMPAÑIA DE TRANSPORTE DE TURISMO EDY TORRES OVIEDO Y ASOCIADOS S.A.	62802
''COMPAÑIA DE TRANSPORTE ESCOLAR E INSTITUCIONAL RIVERAS DEL BABAHOYO S.A. CTEIRB''	149142
SOLUCIONES LOGISTICAS FOXULA S.A.	731383
AGROALIMENTOS S.A.S.	329253
TJ IRRIGATION TJI CIA.LTDA.	319931
VARCAMSA S.A.	114237
ELECTEL, ELECTRONICA Y TELECOMUNICACIONES S.A.	103948
PRODUCTORA AGRICOLA VIRINGUITO CIA. LTDA.	160900
ESTUDIO BRIONES MENDOZA CIA. LTDA.	149729
BELLCOSME CIA.LTDA.	720341
SELEPECI S.A.	124681
XTERILIZACION DEL ECUADOR XTERIECUADOR S.A.	319008
ABASSIL S.A.	9234
LEGALTECH ASESORES & CONSULTORES CIA.LTDA.	181818
MARVALROTULOS ECUADOR S.A.S.	323947
TRANSPORTE DE CARGA PESADA TRANSMARCARGOEXPRESS S.A.	714343
INMOBILIARIA COMERCIAL E INDUSTRIAL JUCA S.A. INJUSA	42017
STRATEGISK TRAENINGSCENTER S.A.	714252
DISEÑOS Y MODA KAREN PAMELA DISMOKARPAM S.A.	63579
ATRIFECSA S.A.	9686
PARQUE INDUSTRIAL IMBABURA SA	1016
COMERCIALIZADORA LUXIE CIA.LTDA.	183121
COMERCIAL MAZZINI COMAZSA S.A.	311961
COMPAÑIA DE TEXTILES BEN&RO S.A.	178323
IMPORTADORA INTECSE S.A.	318261
COMPAÑIA DE TRANSPORTE DE CARGA PESADA LA GUADALUPANA S.A. CARGUADATRANS	168904
E&T S.A. EQUIPO Y TRANSPORTE	151182
IMPORFRUIT S.A.	132764
BI-SCIENCES-ECUADOR S.A.	723921
XEON C.L.	316988
CONSTRUCTORA Y SERVICIOS LOVIACHILVA CIA. LTDA.	182527
COMPANIA INMOBILIARIA Y CONSTRUCTORA CONREVY S.A.	68448
INGENIEROS ESPIN-DYER ESPINDYERSA S.A.	300889
GOLDENSUMMIT S.A.	716279
INMOBILIARIA DISPROMAN S.A	55990
GRINER CIA.LTDA.	720934
PLUSFONDOS ADMINISTRADORA DE FONDOS Y FIDEICOMISOS SOCIEDAD ANÓNIMA	733574
GREENWATT CIA. LTDA.	148432
DESARROLLO DE OBRAS CIVILES Y ELECTRICAS OBCIELEC S.A.	306214
CONSULTORA CREATIVA EFEBACK CIA.LTDA.	310406
YUTURI TUR CIA. LTDA.	51057
ABSOLUTE MANAGEMENT SOLUTIONS AMSO S.A.	313894
ALFAPUBLIC S.A.	168673
ROALZAMVE CONSULTORES S.A.	140406
LUCENT INDUSTRIES TECHNOLOGY S.A.	161221
PINOT PRODUCTS-GYE S.A.S.	326552
GALEDUCATION S.A.	98200
COMPAÑIA CUELLO DE LUNA CUELLODELUNA S.A.	87548
FÁBRICA DE SOFTWARE LIBRE AYNI MENDIETA LEÓN GUAMÁN S.A.	180552
TRANSEUROSUR P&P C.A.	725276
KPROIM O&M S.A.S.	729137
CELI&ASESORES S.A.S.	320767
IMPORTADORA LISAND STORE EC ILSE S.A.	732221
OPERADORA DE TRANSPORTE PESADO BAGARCI S.A.	167822
ROCKAPIXEL C.A.	143890
CJ7 AUTOPARTS S.A.S.	733864
SERVICIOS DE PRACTICOS GUAYAQUIL SERPRACGU S.A.	311899
MOBILSERVICE S.A.	315803
PAROLA MUNDO S. A. PARMUNSA	177950
UNION COMERCIAL INDUSTRIAL CA UCICA	1107
GUAYAQUIL FASHION WEEK S.A. FASHIONWEEK	119928
OCEANFREIGHT CARGO LINES S.A.	120930
SERVICIOS INDUSTRIALES ENERTECNICA S.A.	168153
ARTDESSING CIA.LTDA.	725618
J&M AGENCIA DE PUBLICIDAD S.A.	145129
JENALVIDOBRAS S.A.	161016
REBECCA ADVENTURE TRAVEL SERVICIOS TURISTICOS REBATRAVEL SOCIEDAD ANÓNIMA	304328
CONSULTINGECUADOR S.A.	705817
ACCOUNTING & COMPUTER SYSTEM'S ACCOMPUTERSYS CIA. LTDA.	149991
TRANSDOMELIS S.A.	175673
CHANGE CONSULTORES CONSULTCHANGE CIA. LTDA.	177567
CARUMA S.A.	76586
COMERCIALIZADORA INTERNACIONAL TAEK CIA. LTDA.	64740
CELIDELPI S.A.	318459
COMPAÑIA DE TRANSPORTE 12 DE FEBRERO COMFESANT S.A.	104713
INDUSTRIA DEL AGRO NUTRIAGRI S.A.	312476
PREDIOS URBANOS CA PUCA	3280
NEO DIGITAL INNOVACION DIGITAL NDID S.A.	710787
MECVIAJES INTERNACIONAL DE TURISMO CIA. LTDA.	89069
ACTITRANS S.A.	85887
PERSEUS S.A.S.	738994
KARGA BOHUIL CIA. LTDA.	147785
3BIOMAT- DE ECUADOR 3BIOMATDEECUADOR S.A.	314271
VIAPROPIEDADES S.A.	70256
ENTORNO COMERCIAL S. A. ENCOMERSA	60478
CICELA INGENIERÍA Y PROYECTOS S.A.	726937
INTRALCOMEX S.A.	167167
EDUCACION ALTERNATIVA EDUALTER S.A.	33919
GANENCORP S A	73945
GRUPO GRUDENEG CIA. LTDA.	86324
SERVICIOS EDUCATIVOS GARDNER MINI ACADEMY BAPIAND CIA.LTDA.	308119
TRANSVOL S.A.	93476
PTESAECU S.A.	60388
AUTOMACIÓN Y NEUMÁTICA DEL ECUADOR S.A. AYNECSA	179216
CLONEX S.A.	108692
INGENIERÍA & PROYECTOS INTEGRALES TERAPROJECT S.A.	722929
CISNEROS TERREROS GESTORA PROMOTORA INMOBILIARIA CTI CIA. LTDA.	166616
TRANSPORTES FRANCISCO DE ORELLANA TRANSFRANSA SOCIEDAD ANONIMA	150952
DSA DEVELOPMENT & SERVICES ADVISORS CIA. LTDA.	151836
SEMENIAS S.A.	169932
CONSULTORES INDEPENDIENTES S.A. INDEPCONSUL	171500
AXXIS VALLE IMAGEN AXXIMAGEN S.A.S.	729248
NATUAVENTURA NATURALEZA Y AVENTURA S.A.	112972
CIRUGIAS PLASTICAS AMERICANAS CIRPLAM S.A.	705302
GENERAL SYSTEMS SECURITY GSSRC S.A.	314532
ADMINPRO ADMINISTRADORA DE PROPIEDADES CIA.LTDA.	704546
CODETEK S.A.	84775
SOLEVENTOS ORGANIZACIÓN INTEGRAL&LOGÍSTICA PARA EVENTOS S.A.S.	731287
MUSICLASES S.A.	712545
WARRIOR TRANSPORT S.A.	722608
WALSH ENVIRONMENTAL SCIENTISTS & ENGINEERS, LLC	94400
PEÑABIENES S.A.	720617
QC CONSTRUCTORA DEL ECUADOR QCCE S.A.	734066
ALTERNAVISION TRONCALTEVE S.A.	703872
ANDROSAS AGRICOLA E INDUSTRIAL S.A.	325602
INSTITUTO DE CAPACITACIÓN PROFESIONAL CICETEP CIA.LTDA.	726692
LOGISTICA ANDINA MAJA MAJANDINA CIA.LTDA.	713103
URGIMED CIA. LTDA.	179319
SERVICIOS EDUCATIVOS CAVIROMO CIA.LTDA.	314113
RPG IMPORTACIONES S.A.	314901
CONSULTORA DOMAIN CONSULTORES DMN CIA.LTDA.	707566
PARAMO PLACES S.A	89638
PRODALEC CIA. LTDA. PRODUCTOS ALIMENTICIOS ECUATORIANOS	35549
MAKANSAN CIA. LTDA.	150585
LULETA S.A.S.	322070
ASERCOFIN ASESORÍA Y SERVICIOS CONTABLES FINANCIEROS S.A.	707892
REALTY EDEN-OA S.A.S.	737346
COMPAÑIA DE TRANSPORTE PESADO TRANSPEPIÑAS S.A.	147341
COMPAÑIA DE TRANSPORTE DE CARGA PESADA TRANSPORTE''ORIENTE S.A.	728141
CUMCESPRIV CIA.LTDA.	310301
ESTUDIO JURIDICO SOLORZANO SOCIEDAD ANONIMA ''ESJURSOL''	105716
PARTNER & ADVICE PADSA S.A.	317505
ADELNOR S.A	93974
TRANSPORTES NACIONALES TRAENAC S.A.	725651
A TIEMPO AGENCIA DE VIAJES Y OPERADORA DE TURISMO ATIEMPOAGV CIA.LTDA.	310598
PUNCH CREATIVO S.A.	315890
ECUADOR ELECTRICO S.A. ECUAELECTRICO	132507
CLANMAK CIA. LTDA.	163381
RAMIRO SOLANO NUÑEZ S.A. RASONU	120965
J&CO ASESORES EMPRESARIALES C.A.	722575
NATUATUK CIA.LTDA.	310806
INDUSTRIAS MALUPA C.A.	57981
FERALPORT S.A.	168735
SERVICIOS MEDICOS SAN VICENTE PAUL GRUMESANV S.A.	319299
ALLPACK S.A.	720857
COMPANIA DE TRANSPORTE DE CARGA PESADA TRANSTIGERCARGO S.A	715018
TAGGPUBLICIDAD S.A.	139508
ASESORIA INTEGRAL DEL ECUADOR ASEINTEJFJ CIA. LTDA.	173602
MAJENSA CONSTRUCTORA MCONST S.A.S.	731691
ESTRUMET ESTRUCTURAS METALICAS Y OBRA CIVIL CIA.LTDA.	325201
MEDICINA, EDUCACION Y TURISMO MEDYTUR S.A.	126331
COMPAÑIA DE TRANSPORTE DE CARGA MIXTA COMERCIAL ''TRANSCONVENTO'' CONLINQUE S.A.	723949
VIAJES GIORGIO S.A.	302279
DIALOGO DEPORTIVO DIALDEPORT S.A.	107107
CORPORACIÓN PANTUMACA S.A.	707551
CORPORACION INMOBILIARIA ACS CORPINMACS S.A.	711229
SILPA S.A.	65354
ASA TRAVEL EXPED CIA.LTDA.	712304
SALAS & HAHL CIA. LTDA.	169306
REPRESENTACIONES CORPORATIVAS NACIONALES RND S.A.	717132
RESIDUOS RENOVABLES INTELIGENTES S.A. SMARTWASTE	168658
PITYS S.A.S.	733488
GRUNAVIL SA	9237
ESTOCASTICANALYTICS S.A.	715222
INVERSIONES ROAHN C.L.	313267
MISFATTO S.A.	143254
INMOBILIARIA LOS CEDROS INMOLOSCEDROS S.A.	159382
ARKALEGAL SERVICIOS FINANCIEROS LEGALES CIA.LTDA.	305844
SIDERURGICA TUNGURAHUA CIA LTDA	13209
COMPAÑIA DE TRANSPORTES MATILROSE S.A.	717794
PROMARCOMPANY S.A.	125836
FOXANDINA DE SEGUROS AGENCIA ASESORA Y PRODUCTORA DE SEGUROS CIA. LTDA.	601027
SERVGLUM S. A.	177666
MALDONADO&ASOCIADOS CIA.LTDA.	723967
TIENDA DE MASCOTAS PETLOVERS CIA.LTDA.	710960
PAUH SALON S.A.S.	728774
PALMERASDELNORTE S.A.S.	322274
TASKCO CIA.LTDA.	716340
ALJEAN S.A.	98823
COMPAÑIA DE TRANSPORTE PESADO TRANSTULCARGO S.A.	177236
TEPMA S.A.	106003
SUPERCONSTRUC S.A.	165223
CARGOZU S.A.	722217
VANEY&IMEXCOM CIA.LTDA.	711371
CIFRUCORP S.A.	170314
CHILDRENCITOS CIA. LTDA.	166980
UZIEL S.A.	129513
ESLOSAR CONSULTORES PROFESIONALES EN COBRANZA S.A.	707702
COMPANIA DE TRANSPORTES VALLE DEL UPANO S.A.	6476
ADMINISTRACION Y SERVICIOS CONTABLES ADSECONSA S.A.	715214
EMPACADORA DEL LITORAL EMPACAR S.A.	26004
ALQUICOSTA C.A.	706264
DEMARI S.A.S.	327030
INSUPORT INSUMOS PORTUARIOS S.A.	321003
UPMEDIA S.A.	309888
COMPAÑÍA DE MARKETING ONMARKET S.A.	173033
BETTENCOURTME CIA. LTDA.	160396
SOLUCIONES MECÁNICAS AVANZADAS SOLMA CIA.LTDA.	316870
XPRESSEG CIA. LTDA. AGENCIA ASESORA PRODUCTORA DE SEGUROS	600770
CORPORACIÓN GUERRERO & GUERRERO ASOCIADOS GYGACORP S.A.S.	309357
CSR INGENIERÍA S.A.S.	735178
FREECANCER-GROUP S.A.S.	736553
TGS-ECUADOR CIA.LTDA.	310545
J LLP ASESORES Y CONSULTORES FINANCIEROS INDEPENDIENTES JLLP CIA.LTDA.	712819
MYCORGANIC S.A.	735182
LASEMILLA S.A.S.	739669
CENTRO COMERCIO EXTERIOR S.A. FMR	132452
CALTICORP S.A.	118647
DENAMO CIA.LTDA.	317044
ROCERSA S.A.	77971
COMERCIO, IMPORTACIONES NACIONALES E INTERNACIONALES, PESADO Y COMBUSTIBLES IÑIGUEZTRANS S.A.	168159
SABERICONS CIA. LTDA.	170643
LISSEAN S.A.	124994
HARMONIUS LIFE CORPORATION CIA.LTDA.	321794
CONTROLPARKING S.A.	163209
SOLUCIONES DE CÉSPED SINTÉTICO SOLUTIONGRASS S.A.	724293
KREACONS CIA. LTDA.	171619
GRUPONL S.A.	324819
NEBY S.A.S.	734936
WAI STRATEGIES & SOLUTIONS WAISS S.A.S.	729962
REPRESENTACIONES ''VARGAS VITERI'' VARVIT CIA.LTDA.	306365
TRANSPORTE MIXTO DE CARGA Y PASAJEROS EN CAMIONETAS DOBLE CABINA GARZVELOZ S.A.	720673
GRIDCON CIA. LTDA.	54521
FORMACIÓN EDUCATIVA FETAFUR TAFUR CONSULTING S.A.	304870
WILDWORLD S.A.	128372
ALORSSY S.A.	107532
ZUÑIGA-CONSTRUCTORES S.A.	721767
INMOBILIARIA KALISI S.A.	183422
CORPYDANY S.A.	123509
BONFRA S.A.	115303
EKUMA CIA.LTDA.	304075
AGROPECUARIA GUAYTAN CIA. LTDA.	93106
RGR OFFICES RGROFFICES S.A.S.	732590
CHILESUCRE S.A.	310607
BLUE MOON TRADING S.A.	113284
HEIDELVEM S. A.	176836
GESIRESULTS EMPRESA INTEGRAL DE GESTIÓN Y RESULTADOS COMPAÑÍA LIMITADA	178181
PANEIMA SA	42221
INMOBILIARIA SAN LUIS DEL SAUCE SA	8616
JARDIEVEN S.A.	29617
INMOBILIARIA TATIANA SA	9422
ESBAL S.A.	83691
RIQZ S.A.	99504
PUNTO TRAVEL FABIAN SEGARRA CIA. LTDA.	171615
