NOMBRE	EXPEDIENTE
ADMINISTRACION ESTRATEGICA DE GASOLINERAS DEL ECUADOR ADESGAE CIA.LTDA.	703924
BOPP DEL ECUADOR S.A.	16465
SIGMAEC CIA.LTDA.	10971
ACESCO ECUADOR S.A.	116265
PROCTER & GAMBLE ECUADOR CIA. LTDA.	47936
ECUAGREENPRODEX S.A.	62022
SURPAPELCORP S.A.	97887
EXPOTUNA S.A.	120796
EMPRESA ELECTRICA REGIONAL DEL SUR SA EERSSA	753
DK MANAGEMENT SERVICES SOCIEDAD ANONIMA	48584
FARMAGRO S.A.	57786
ENCHAPES DECORATIVOS SA ENDESA	1836
PINTURAS UNIDAS S.A.	21465
FRIGOLANDIA S.A.	59990
FERMAGRI S.A.	86166
AVIANCA-ECUADOR S.A.	45396
TENARIS GLOBAL SERVICES ECUADOR S.A.	150540
ELECTROCABLES C.A.	19691
EDESA SA	1799
VERIS S.A.	155972
LATAM-AIRLINES ECUADOR S.A.	91788
CHINA RAILWAY 19 BUREAU GROUP CORPORATION	706532
QUALA ECUADOR S.A.	85376
PLASTICAUCHO INDUSTRIAL S.A.	1195
FRIGOPESCA C.A.	133831
EMPRESA ELECTRICA AMBATO REGIONAL CENTRO NORTE S.A.	469
''CONSORCIO LÍNEA 1'' - METRO DE QUITO: ACCIONA	705267
PROCESADORA DEL RIO SA PRORIOSA	19870
EXORBAN S.A.	145245
CARTIMEX S.A.	77237
CORPORACIÓN FERNÁNDEZ CORPFERNANDEZ S.A.	102434
ATLAS AIR INC	93591
AVIPECHICHAL S.A.	165111
OCEANBAT S.A.	100696
INTACO ECUADOR S.A.	2658
SEMVRA-VECONSA S.A.	71761
TIENDEC S.A.	158738
PETROORIENTAL S.A.	45750
SINOPEC INTERNATIONAL PETROLEUM SERVICE ECUADOR S.A.	93862
DONATELLA ECUADOR DONATECUA S.A.	705172
COMPANIA DE ELABORADOS DE CAFE ELCAFE C.A.	7230
INDUSTRIAL SURINDU S.A.	75640
E. MAULME C.A.	2837
PETROLIA ECUADOR S.A.	89838
HUAWEI TECHNOLOGIES CO. LTD.	93391
METROCAR SA	1992
LUBRICANTES INTERNACIONALES S.A. (LUBRISA)	66764
ALESSA S.A.	100967
ENVASES DEL LITORAL SA	5307
MARZAM CIA. LTDA.	35167
PICA PLASTICOS INDUSTRIALES CA	3723
ITALIMENTOS CIA. LTDA.	33642
CORPORACION ECUATORIANA DE ALUMINIO SA CEDAL	1765
AUDIOVISION ELECTRONICA AUDIOELEC S.A.	130455
EMPRESA ELECTRICA REGIONAL NORTE SA EMELNORTE	7038
JABONERIA WILSON SA	1797
SABROSTAR FRUIT COMPANY S.A.	145255
TATASOLUTION CENTER S.A.	157307
PESPESCA S.A.	95806
ORODELTI S.A.	101314
ECUASANITAS SA	7265
CARGILL DEL ECUADOR CARGILLECUADOR CIA.LTDA.	183115
FLEXIPLAST S.A.	6370
N&CO-ECUADOR S.A.S.	47117
CIUDAD DEL AUTO CIAUTO CIA. LTDA.	149080
QUITO MOTORS SA COMERCIAL E INDUSTRIAL	925
FERRERO DEL ECUADOR S.A.	1849
CUYABENOPETRO S.A.	719648
INMOBILIARIA GUANGALA SA	19887
IASA-SERVICIO S.A.	20371
CLYAN SERVICES WORLD S.A	94326
POLLO FAVORITO SA POFASA	1975
ECUADOR KAKAO PROCESSING PROECUAKAO S.A.	716718
QUIMPAC ECUADOR S.A. QUIMPACSA	9283
